Galaxy,Final Model,Sum comp Mass,Mass Bar,Mass Disk,Mass Bulge,Mass Nucleus,Bar-to-total Mass,Disk-to-total Mass,Bulge-to-total Mass,Nucleus-to-total Mass
IC1954,DBAR,9.9670525989759,8.485396881762894,9.952484861635195,,,0.0329871110713755,0.9670128889286246,,
IC2035,DBARN,9.929320646639097,9.162905827611802,9.74840788842781,,9.158391888427811,0.1712320992309025,0.6593063244797369,,0.1694615762893605
IC2051,DBARB,10.585634669934228,9.182489931441811,10.540030299499756,9.364936299499751,,0.0395234877123518,0.9003173708527955,0.0601591414348526,
IC3021,DBARN,9.050339228720082,7.107809289750129,9.04201595663981,,6.929303956639808,0.011414846113522,0.9810174395880245,,0.0075677142984533
IC3115,DBAR,9.488707381762808,7.915817257970207,9.476937672035184,,,0.0267368276301464,0.9732631723698536,,
IC3517,DBAR,8.60137602480518,7.427336982661735,8.571265842756546,,,0.0669824390932168,0.9330175609067832,,
IC3521,DBAR,9.405845249988069,8.783835538640044,9.287357842756546,,,0.2387757889172106,0.7612242110827894,,
IC4536,DBARN,10.030301188530222,8.799552253507944,10.002810933623126,,7.437520933623127,0.0587829077416354,0.9386630990085432,,0.0025539932498211
IC5007,DBAR,10.161886163415565,9.23787882687738,10.106801834084507,,,0.1191221884541991,0.8808778115458009,,
IC5240,DBARB,10.404232727507766,10.134422617169715,9.880069433239877,9.618067433239874,,0.5372666579395048,0.2991139759745139,0.1636193660859811,
IC5270,DBAR,10.029551710121606,8.668457881910726,10.010217714386243,,,0.0435417792623663,0.9564582207376336,,
IC5273,DBAR,10.040621150986942,8.597459100653051,10.024678176080108,,,0.0360444123722403,0.9639555876277596,,
NGC0210,DBARB,10.49166082418986,9.82103718779799,10.179450589467836,9.967648589467837,,0.213489423076617,0.4872925427987217,0.2992180341246612,
NGC0289,DBARN,10.600813609105582,9.47051794063372,10.560329694000906,,8.774705694000907,0.0740805727698958,0.9109951920244472,,0.0149242352056568
NGC0337,DBAR,10.19550072935807,9.163236587414882,10.15318454737022,,,0.0928401552569472,0.9071598447430528,,
NGC0337A,DBAR,9.17518199520113,8.127663815858064,9.13439713431281,,,0.0896358664053167,0.9103641335946832,,
NGC0450,DBAR,9.750462015059286,8.531855166718314,9.723382114840977,,,0.060449561056671,0.939550438943329,,
NGC0578,DBARN,10.338957877808852,8.985014500104025,10.317814987209209,,7.851196987209208,0.0442646079757565,0.9524827287252944,,0.0032526632989492
NGC0600,DBAR,9.812619235734305,8.69908565147159,9.777822964679777,,,0.0769956900808055,0.9230043099191944,,
NGC0613,DBARB,11.095527781137031,10.316083233308865,10.942087442962077,10.214351442962077,,0.1661710837018588,0.7023598247930786,0.1314690915050626,
NGC0685,DBAR,9.884860727299122,8.541979264457506,9.864679175889542,,,0.0454065533245001,0.9545934466755,,
NGC0701,DBAR,10.154324635674506,9.166452010512248,10.107198514579531,,,0.1028317850687674,0.8971682149312326,,
NGC0718,DBARB,10.278256446310431,9.348488237526675,10.074395546698378,9.68831554669838,,0.1175524787454791,0.6253729617077649,0.2570745595467559,
NGC0864,DBARB,10.241892269722785,9.160650358081526,10.185417698527358,8.832941698527359,,0.0829388650981384,0.8780624978947977,0.0389986370070637,
NGC0936,DBARB,10.923576251481489,9.946889362473266,10.763914690913833,10.229174690913831,,0.1055147346221739,0.6923703149507551,0.2021149504270709,
NGC0986,DBARB,10.438518515106097,9.743808468354622,10.240964893815097,9.652054893815096,,0.2019714359832674,0.6345215533006674,0.1635070107160652,
NGC0991,DBARN,9.769067111013142,8.213057592334984,9.756581698527356,,6.503777698527356,0.0277965234387673,0.971660588129466,,0.0005428884317667
NGC1015,DBARB,10.407983530241935,9.512888417393508,10.222541987551436,9.750821987551436,,0.1273224207469215,0.652466859038378,0.2202107202147005,
NGC1022,DBARB,10.228049406536003,9.173316445255224,10.057855456806024,9.601071456806029,,0.0881590778373763,0.6757811137731577,0.2360598083894659,
NGC1036,DBAR,8.941554462513851,8.178901605129129,8.85920604534036,,,0.1727217949556741,0.8272782050443259,,
NGC1051,DBARN,9.293981130350616,7.705913276292445,9.281364248640902,,6.7434502486409,0.025818567704824,0.9713664924512388,,0.0028149398439371
NGC1073,DBAR,9.996730393592006,8.794951080612533,9.968545175889544,,,0.0628377588174051,0.937162241182595,,
NGC1087,DBAR,10.239460599751109,8.940933044540417,10.217052097372587,,,0.0502889357404925,0.9497110642595074,,
NGC1179,DBARN,9.872723040518302,8.294132504903308,9.859866775970149,,7.316860775970147,0.0263881816126821,0.970831223400362,,0.0027805949869559
NGC1187,DBARB,10.449402278636232,8.76862969813528,10.40932169852736,9.27743369852736,,0.0208558271832348,0.9118416382298148,0.0673025345869505,
NGC1232,DBARB,10.739652125603028,9.065835151013474,10.718999213072996,9.141905213072995,,0.0211925406767415,0.9535579415913332,0.025249517731925,
NGC1255,DBAR,10.344568512471904,8.795729416125553,10.33211891983121,,,0.0282592677090202,0.9717407322909798,,
NGC1258,DBARN,9.602200380314011,8.13545628967918,9.584863411926458,,7.300661411926458,0.0341394019845183,0.960866454348168,,0.0049941436673134
NGC1291,DBARB,10.76199353215684,9.985928567664605,10.419240902487132,10.339864902487133,,0.1674692346305178,0.4542002514673112,0.378330513902171,
NGC1300,DBARB,10.619456296299877,9.623701752381772,10.529919149738369,9.550509149738367,,0.1009823460394932,0.813697259737859,0.0853203942226478,
NGC1302,DBARBN,10.5885487845359,9.381830216990096,10.32180599132796,10.18455199132796,7.95738599132796,0.0621271501520998,0.5410746744230148,0.3944602147238776,0.0023379607010077
NGC1310,DBARN,9.845853100560673,8.21564545726207,9.833771361644413,,7.44842936164441,0.023431082690594,0.9725641594618342,,0.0040047578475718
NGC1326,DBARB,10.543468564963652,9.709077572962917,10.262445842756543,10.061987842756546,,0.1464229013197007,0.5235730426242122,0.330004056056087,
NGC1326A,DBAR,8.916066403563526,7.564891787477999,8.896275409227345,,,0.0445477100122094,0.9554522899877906,,
NGC1338,DBAR,10.126199008021532,9.01570899968766,10.091147879755772,,,0.0775371781870497,0.9224628218129504,,
NGC1341,DBAR,9.66391123379086,8.827383866184682,9.595519409227345,,,0.1457043884407318,0.854295611559268,,
NGC1345,DBAR,9.172708613748682,8.502901979039212,9.068191149738366,,,0.2138914207763661,0.7861085792236339,,
NGC1365,DBARBN,11.088845412867316,10.280786756822806,10.845562061959784,10.468078061959783,9.618516061959784,0.1555755496247269,0.5711059029989191,0.2394598185555647,0.0338587288207891
NGC1367,DBARB,10.726988769583723,9.537532689509067,10.638217842052036,9.806963842052037,,0.0646463367123966,0.8151341203567152,0.1202195429308881,
NGC1398,DBARB,11.121645394125249,10.01499603962879,10.859346443663105,10.6958324436631,,0.0782259138761098,0.5466395491684071,0.375134536955483,
