Name,y$_{3.6\mu m}$_center,x$_{3.6\mu m}$_center,SKY$_{3.6\mu m}$,$\sigma$_SKY$_{3.6\mu m}$,RMS$_{3.6\mu m}$,y$_{4.5\mu m}$_center,x$_{4.5\mu m}$_center,SKY$_{4.5\mu m}$,$\sigma$_SKY$_{4.5\mu m}$,RMS$_{4.5\mu m}$
NGC4412,817.0,386.0,0.0653,0.021,0.0169,320.0,611.0,0.1543,0.0259,0.0208
NGC4413,910.0,1136.0,0.0518,0.0131,0.011,432.0,1373.0,0.0672,0.01,0.0084
NGC4416,749.0,244.0,0.1048,0.0122,0.0098,252.0,476.0,0.1795,0.0122,0.01
NGC4424,672.0,789.0,0.0468,0.0078,0.0064,1193.0,634.0,0.0646,0.0111,0.009
NGC4430,778.0,454.0,0.0607,0.016,0.0128,790.0,513.0,0.1314,0.016,0.0129
NGC4448,730.0,314.0,0.0345,0.0065,0.0053,256.0,587.0,0.1,0.0111,0.0091
NGC4449,686.0,357.0,0.0116,0.0102,0.0082,292.0,735.0,0.0101,0.0152,0.0121
NGC4450,965.0,529.0,0.0318,0.0089,0.0072,487.0,831.0,0.0536,0.0129,0.0104
NGC4454,781.0,478.0,0.0584,0.016,0.0128,787.0,494.0,0.1006,0.0154,0.0124
NGC4487,876.0,819.0,0.0945,0.0202,0.0161,861.0,804.0,0.1291,0.0205,0.0164
NGC4491,784.0,511.0,0.1292,0.0167,0.0134,779.0,486.0,0.3061,0.0179,0.0144
NGC4496A,840.0,357.0,0.0509,0.0097,0.0078,348.0,593.0,0.0943,0.0152,0.0122
NGC4498,382.0,533.0,0.0328,0.0074,0.0062,911.0,413.0,0.0465,0.0096,0.0079
NGC4502,775.0,487.0,0.0705,0.0163,0.0134,786.0,526.0,0.1824,0.0169,0.0139
NGC4504,791.0,279.0,0.0804,0.0125,0.0101,287.0,490.0,0.1094,0.0129,0.0105
NGC4519,818.0,404.0,0.0541,0.0221,0.0178,325.0,640.0,0.1432,0.0266,0.0213
NGC4523,789.0,290.0,0.0884,0.0136,0.0109,293.0,582.0,0.1568,0.0135,0.0108
NGC4525,764.0,578.0,0.0615,0.0161,0.0132,759.0,556.0,0.1151,0.0166,0.0136
NGC4535,1377.0,1032.0,0.0679,0.0129,0.0103,1325.0,1142.0,0.1092,0.013,0.0104
NGC4540,774.0,489.0,0.0715,0.0161,0.0129,786.0,527.0,0.1875,0.0164,0.0132
NGC4548,641.0,771.0,0.0407,0.0071,0.0058,1168.0,640.0,0.0555,0.01,0.008
NGC4559,1230.0,808.0,0.016,0.0087,0.007,804.0,1163.0,0.0137,0.013,0.0104
NGC4561,385.0,499.0,0.0319,0.0072,0.0059,916.0,390.0,0.0411,0.0096,0.0079
NGC4579,969.0,521.0,0.0363,0.0086,0.007,490.0,815.0,0.0403,0.0131,0.0107
NGC4584,775.0,517.0,0.1112,0.0164,0.0132,778.0,526.0,0.256,0.0173,0.014
NGC4591,776.0,488.0,0.0968,0.0163,0.0131,787.0,516.0,0.2187,0.0169,0.0137
NGC4593,283.0,497.0,0.1124,0.0122,0.0099,783.0,287.0,0.2408,0.0127,0.0103
NGC4596,809.0,422.0,0.0406,0.0127,0.0101,336.0,694.0,0.0565,0.0192,0.0153
NGC4639,252.0,448.0,0.0412,0.0065,0.0054,779.0,320.0,0.05,0.0098,0.008
NGC4643,779.0,444.0,0.0614,0.0159,0.0127,790.0,504.0,0.1089,0.0154,0.0124
NGC4654,757.0,337.0,0.0386,0.0108,0.0086,282.0,606.0,0.0721,0.0154,0.0123
NGC4658,793.0,339.0,0.0773,0.0117,0.0094,286.0,541.0,0.0811,0.0119,0.0097
NGC4688,824.0,406.0,0.0591,0.0221,0.0176,330.0,640.0,0.1208,0.0265,0.0212
NGC4691,790.0,283.0,0.1041,0.0121,0.0097,289.0,496.0,0.2648,0.0128,0.0103
NGC4713,357.0,550.0,0.1471,0.0109,0.0087,852.0,325.0,0.4553,0.0186,0.0149
NGC4725,1190.0,734.0,0.0152,0.0107,0.0085,732.0,1085.0,0.0277,0.0146,0.0116
NGC4733,781.0,509.0,0.0956,0.0163,0.0131,780.0,500.0,0.2084,0.0171,0.0138
NGC4779,772.0,447.0,0.0537,0.016,0.0128,791.0,532.0,0.1081,0.0156,0.0126
NGC4897,796.0,278.0,0.0744,0.013,0.0104,282.0,482.0,0.0857,0.0129,0.0105
NGC4900,785.0,287.0,0.0917,0.0127,0.0103,294.0,522.0,0.2209,0.0133,0.0107
NGC4902,786.0,508.0,0.0712,0.0162,0.013,781.0,473.0,0.1562,0.0164,0.0132
NGC4948A,281.0,1379.0,0.0836,0.0181,0.0146,784.0,1177.0,0.1011,0.0187,0.0149
NGC4984,432.0,625.0,0.0648,0.0065,0.0053,930.0,406.0,0.1382,0.0099,0.0081
NGC4995,846.0,279.0,0.0742,0.0118,0.0095,339.0,480.0,0.1354,0.0116,0.0094
NGC5068,1170.0,800.0,0.1162,0.0098,0.0078,687.0,1003.0,0.3001,0.014,0.0112
NGC5101,1243.0,757.0,0.0468,0.0155,0.0124,735.0,951.0,0.0492,0.0153,0.0122
NGC5117,775.0,297.0,0.1899,0.0226,0.0188,308.0,674.0,0.0803,0.0138,0.011
NGC5134,794.0,279.0,0.0901,0.0119,0.0096,282.0,466.0,0.2042,0.0123,0.01
