Galaxy,Model,Total Model Mass,Bar Mass,Disk Mass,Bulge Mass,Nucleus Mass,Bar-to-total,Disk-to-total,Bulge-to-total,Nucleus-to-total
NGC2938,DBAR,9.737162857093399,8.578342096993028,9.705939343085658,,,0.06937120523970135,0.9306287947602987,,
NGC3020,DBAR,9.680869630717893,8.649770151577474,9.638434078950933,,,0.09308946210808605,0.906910537891914,,
NGC3023,DBAR,9.807893182897944,9.016631917580591,9.731287110034314,,,0.16171069166893765,0.8382893083310624,,
NGC3049,DBARN,10.028507267366955,9.237865837499665,9.936505615162186,,8.490388673170608,0.1619416538058369,0.8090928211066676,,0.028965525087495503
NGC3057,DBAR,9.420684886048024,8.09457244788937,9.39968933104627,,,0.04719408407037394,0.952805915929626,,
NGC3061,DBARB,10.282475070296965,8.645242513726059,10.261532896016304,8.663081358775031,,0.02305512299411373,0.9529230359826887,0.024021841023197536,
NGC3066,DBARN,10.040099940537683,8.896057166089282,9.965288857051206,,8.976947394199911,0.07177235978957987,0.8417612250756223,,0.08646641513479775
NGC3153,DBAR,9.992415506805642,8.832217450402176,9.96129448490517,,,0.06915155390620037,0.9308484460937997,,
NGC3155,DBARN,10.067787733093692,9.015097531260174,10.011131029404854,,8.595816187608788,0.08857472204746715,0.8776943371434791,,0.03373094080905374
NGC3166,DBARB,10.809430782300135,10.193978062704616,10.470929618210706,10.284990693198026,,0.24240818530837127,0.4586684163748651,0.2989233983167635,
NGC3206,DBAR,9.515990420537983,8.394444165955283,9.481855922198314,,,0.07558815508019727,0.9244118449198028,,
NGC3254,DBARB,10.475553396553204,9.38788053695803,10.348262700997322,9.711916653300623,,0.08171977089623038,0.7459492891767253,0.17233093992704426,
NGC3319,DBAR,9.78452248526331,9.119891294654396,9.678586100925951,,,0.21645559168117467,0.7835444083188253,,
NGC3346,DBAR,10.10783067213183,8.07869468288277,10.103750421411341,,,0.009351128193982856,0.9906488718060172,,
NGC3351,DBARB,10.42153393162803,9.435432639897238,10.287328792823905,9.632603565071031,,0.10325205599843353,0.7341670027875783,0.16258094121398822,
